,Rage
8575,1
8576,1
8577,0
8611,1
8621,1
8660,1
8665,1
8666,1
8667,1
8668,1
8671,1
8697,1
8700,1
8841,0
8858,1
8859,1
8860,1
8861,1
8877,1
8912,1
8916,1
8947,1
8948,1
8949,1
8950,0
8951,1
8953,1
8954,1
8964,0
9044,1
9067,0
9068,0
9070,1
9071,0
9072,1
9090,1
9091,0
9831,0
9839,0
9842,0
9843,0
9844,0
9845,0
9846,0
9849,0
9859,0
9863,0
9864,0
9865,0
9866,0
9900,0
9903,0
9907,0
9913,0
9914,0
9915,0
9916,0
9917,0
9918,0
9961,0
9974,0
9986,0
10008,0
10009,0
10015,0
10023,0
10024,0
10028,0
10031,0
10062,0
10063,0
10064,0
10066,0
10079,0
10081,0
10122,0
10123,0
10140,0
10181,0
10183,0
10186,0
10189,0
10191,0
10210,0
10211,0
10242,0
10243,0
10244,0
10246,0
10263,0
10309,0
10314,0
10315,0
10381,0
10383,0
10384,0
10385,0
10386,0
10387,0
10431,0
10432,0
10470,0
10471,0
10472,0
10473,0
10488,0
10520,0
10523,0
10530,0
10561,0
10565,0
10584,0
10589,0
10590,0
10592,0
10594,0
10617,0
10656,0
10657,0
10659,0
10660,0
10661,0
10705,0
10708,0
10710,0
10750,0
10756,0
10762,0
10779,0
10782,0
10783,0
10798,0
10799,0
10835,0
10859,0
10860,0
10861,0
10862,0
10863,0
10891,0
10896,0
10923,0
10955,0
10956,0
10957,0
10958,0
10959,0
10982,0
11001,0
11011,0
11016,0
11017,0
11023,0
11024,0
11025,0
11054,0
11067,0
11102,1
11129,1
11130,1
11131,1
11135,1
11146,1
11170,1
11172,1
11185,1
11207,1
11208,1
11209,1
11210,1
11211,1
11212,1
11240,1
11294,1
11298,1
11299,1
11300,1
11338,0
11340,0
11345,1
11354,1
11393,1
11396,1
11397,0
11398,0
11399,1
11400,0
11406,1
11407,1
11485,0
11486,1
11487,1
11489,1
11490,1
11497,0
11525,1
11526,1
11534,0
11546,0
11547,1
11548,1
11549,1
11550,1
11553,0
11597,1
11601,0
11603,0
11604,1
11605,1
11606,1
11607,1
11608,1
11609,1
11635,0
11636,1
11637,0
11638,1
11639,1
11642,1
11670,1
11671,1
11701,1
11711,1
11712,1
11713,1
11714,1
11717,1
11739,0
11746,1
11766,1
11767,0
11768,1
11769,0
11770,0
11772,1
11827,1
11828,1
11859,0
11863,1
11864,1
11865,1
11866,1
11891,1
11894,0
11895,1
11971,1
11972,1
11974,1
11976,0
11977,1
12012,1
12013,0
12017,1
12070,1
12071,1
12072,0
12073,1
12074,1
12076,1
12092,1
12097,1
12249,1
12250,1
12251,1
12252,1
12253,1
12254,0
12255,0
12256,1
12276,0
12277,0
12279,1
12280,1
12281,0
12282,1
12283,1
12286,1
13046,0
13047,0
13048,0
13049,0
13050,0
13053,0
13054,0
13055,0
13059,0
13063,0
13064,0
13067,0
13068,0
13071,0
13072,0
13077,0
13080,0
13083,0
13084,0
13085,0
13092,0
13106,0
13107,0
13111,0
13121,0
13122,0
13124,0
13129,0
13139,0
13152,0
13156,0
13159,0
13204,0
13206,0
13216,0
13232,0
13240,0
13241,0
13242,0
13244,0
13287,0
13288,0
13289,0
13291,0
13298,0
13336,0
13340,0
13367,0
13374,0
13415,0
13416,0
13417,0
13418,0
13419,0
